threshold,precision,recall,f1
0.05,0.3937541308658295,0.9814662273476112,0.5620283018867924
0.060000000000000005,0.41013665455803494,0.9765238879736409,0.5776586673163601
0.07,0.4224060420787628,0.9674629324546952,0.5880585805482539
0.08000000000000002,0.43594538993828313,0.9600494233937397,0.5996141479099678
0.09000000000000001,0.4513360639750341,0.9530477759472817,0.6125744540039709
0.1,0.4628882613957241,0.9452224052718287,0.6214459788789602
0.11000000000000001,0.47251607550300767,0.9382207578253706,0.6285004828252173
0.12000000000000002,0.4839606501283148,0.9320428336079077,0.6371058558558559
0.13,0.49712897526501765,0.9271004942339374,0.6472110408280621
0.14,0.5061003163126977,0.9225700164744646,0.6536329150860811
0.15000000000000002,0.5147092888580033,0.9151565074135091,0.6588584136397332
0.16000000000000003,0.5240133143128863,0.9077429983525536,0.6644558335845644
0.17000000000000004,0.53369140625,0.9003294892915981,0.6701410177805027
0.18000000000000002,0.5416979714500376,0.8908566721581549,0.6737268338265068
0.19000000000000003,0.5512820512820513,0.8855024711696869,0.679519595448799
0.20000000000000004,0.5609370887075547,0.877677100494234,0.6844387345431187
0.21000000000000002,0.5693055930829506,0.8677924217462932,0.6875509871104585
0.22000000000000003,0.5788013318534961,0.8591433278418451,0.6916445623342176
0.23000000000000004,0.585766940742841,0.8509060955518946,0.6938706968933669
0.24000000000000005,0.5929794023788801,0.841845140032949,0.6958297872340425
0.25000000000000006,0.6001188354129531,0.8319604612850082,0.6972730410769762
0.26000000000000006,0.6080709263222256,0.8191927512355849,0.6980171959992981
0.27,0.612542688606023,0.8126029654036244,0.6985307134006019
0.28,0.622299872935197,0.806836902800659,0.7026542324246772
0.29000000000000004,0.6312703583061889,0.7981878088962109,0.7049836304110586
0.30000000000000004,0.6389351081530782,0.7907742998352554,0.706791827719492
0.31000000000000005,0.6463787827269636,0.7829489291598023,0.7081393183088098
0.32000000000000006,0.6528066528066528,0.7759472817133443,0.7090703801279639
0.33000000000000007,0.6593716907871514,0.7693574958813838,0.7101311537730469
0.3400000000000001,0.6663063063063063,0.7615321252059308,0.7107438016528925
0.3500000000000001,0.6757553426676493,0.7553542009884678,0.7133411124076235
0.36000000000000004,0.6813393528969149,0.7458813838550247,0.7121510027526543
0.37000000000000005,0.6844940361677568,0.7327018121911038,0.7077779988064452
0.38000000000000006,0.6910377358490566,0.7240527182866557,0.7071600965406275
0.39000000000000007,0.7004422999597909,0.7174629324546952,0.708850457782299
0.4000000000000001,0.7071574642126789,0.7121087314662273,0.7096244613174636
0.4100000000000001,0.7116182572614108,0.7063426688632619,0.7089706490285241
0.4200000000000001,0.7188823031329382,0.699341021416804,0.7089770354906054
0.43000000000000005,0.7274298056155507,0.6935749588138386,0.7100990934008011
0.44000000000000006,0.7342163355408389,0.6849258649093904,0.7087151076070743
0.45000000000000007,0.7399910031488979,0.6775123558484349,0.707374758116534
0.4600000000000001,0.7493100275988961,0.6709225700164745,0.7079530638852672
0.4700000000000001,0.7555138432660723,0.6630971993410214,0.7062952401842509
0.4800000000000001,0.7608591885441528,0.6565074135090609,0.7048419190802565
0.4900000000000001,0.7660818713450293,0.6474464579901154,0.7017857142857142
0.5000000000000001,0.772410358565737,0.6387973640856672,0.6992786293958522
0.5100000000000001,0.7771023302938197,0.6317957166392092,0.6969559291231259
0.5200000000000001,0.7814432989690722,0.6243822075782537,0.6941391941391941
0.5300000000000001,0.7852242744063325,0.6128500823723229,0.6884108258154059
0.5400000000000001,0.7920258620689655,0.6054365733113674,0.6862745098039216
0.55,0.7983516483516484,0.5984349258649094,0.6840866290018832
0.56,0.8029197080291971,0.5889621087314663,0.679496317415063
